 更新,    平均,      σ,    RMSE,      ﾊﾟﾗﾒｰﾀ 1～6
   66,  -20.61,   48.00,   52.24,      0.1222,   -2.2863,   11.5655,   -6.8937,   -0.8559,    4.7785,
   67,  -20.61,   48.00,   52.24,      0.1222,   -2.2863,   11.5655,   -6.8937,   -0.8559,    4.7785,
   68,  -20.61,   48.00,   52.24,      0.1222,   -2.2863,   11.5655,   -6.8937,   -0.8559,    4.7785,
   69,  -20.74,   47.93,   52.23,      0.1229,   -2.2976,   11.6170,   -6.9264,   -0.8593,    4.8091,
   70,  -20.74,   47.93,   52.23,      0.1229,   -2.2976,   11.6170,   -6.9264,   -0.8593,    4.8091,
   71,  -20.74,   47.93,   52.23,      0.1229,   -2.2976,   11.6170,   -6.9264,   -0.8593,    4.8091,
   72,  -21.75,   47.45,   52.19,      0.1224,   -2.2829,   11.5108,   -6.8070,   -0.8648,    4.9508,
   73,  -21.46,   47.57,   52.19,      0.1239,   -2.3102,   11.6442,   -6.8960,   -0.8759,    4.9801,
   74,  -21.46,   47.57,   52.19,      0.1239,   -2.3102,   11.6442,   -6.8960,   -0.8759,    4.9801,
   75,  -21.34,   47.62,   52.18,      0.1230,   -2.2950,   11.5699,   -6.8441,   -0.8702,    4.9735,
   76,  -20.91,   47.80,   52.18,      0.1234,   -2.3029,   11.6119,   -6.8697,   -0.8788,    4.9863,
   77,  -21.50,   47.53,   52.17,      0.1235,   -2.3051,   11.6266,   -6.8768,   -0.8790,    5.0191,
   78,  -21.45,   47.55,   52.17,      0.1232,   -2.2989,   11.5891,   -6.8501,   -0.8752,    5.0087,
   79,  -21.07,   47.72,   52.16,      0.1236,   -2.3044,   11.6145,   -6.8589,   -0.8794,    5.0321,
   80,  -21.20,   47.65,   52.15,      0.1233,   -2.2989,   11.5829,   -6.8326,   -0.8809,    5.0623,
   81,  -21.47,   47.52,   52.15,      0.1231,   -2.2949,   11.5597,   -6.8119,   -0.8819,    5.0843,
   82,  -21.47,   47.52,   52.15,      0.1231,   -2.2949,   11.5597,   -6.8119,   -0.8819,    5.0843,
   83,  -21.43,   47.53,   52.14,      0.1230,   -2.2944,   11.5665,   -6.8237,   -0.8787,    5.0589,
   84,  -21.60,   47.45,   52.13,      0.1229,   -2.2919,   11.5516,   -6.8097,   -0.8804,    5.0844,
   85,  -21.06,   47.68,   52.13,      0.1229,   -2.2940,   11.5670,   -6.8034,   -0.8788,    5.0653,
   86,  -21.39,   47.53,   52.12,      0.1216,   -2.2673,   11.4195,   -6.6778,   -0.8779,    5.1406,
   87,  -20.85,   47.74,   52.09,      0.1216,   -2.2710,   11.4628,   -6.7195,   -0.8765,    5.1055,
   88,  -21.72,   47.27,   52.02,      0.1203,   -2.2439,   11.2958,   -6.5089,   -0.8878,    5.3066,
   89,  -22.57,   46.84,   51.99,      0.1189,   -2.2189,   11.1740,   -6.3826,   -0.8889,    5.3947,
   90,  -20.81,   47.55,   51.91,      0.1220,   -2.2742,   11.4391,   -6.5626,   -0.9074,    5.5563,
   91,  -20.86,   47.48,   51.86,      0.1187,   -2.2165,   11.1565,   -6.2668,   -0.9018,    5.6058,
   92,  -20.21,   47.59,   51.70,      0.1202,   -2.2395,   11.2414,   -6.2631,   -0.9412,    6.0205,
   93,  -20.59,   47.38,   51.66,      0.1195,   -2.2275,   11.1795,   -6.1733,   -0.9420,    6.0844,
   94,  -21.87,   46.60,   51.48,      0.1190,   -2.2159,   11.0749,   -5.9033,   -0.9763,    6.6823,
   95,  -20.72,   46.79,   51.17,      0.1182,   -2.1957,   10.9315,   -5.5953,   -1.0171,    7.2596,
   96,  -19.64,   46.96,   50.90,      0.1176,   -2.1814,   10.8132,   -5.2644,   -1.0614,    7.8873,
   97,  -17.37,   47.40,   50.49,      0.1149,   -2.1228,   10.4384,   -4.5851,   -1.1403,    9.1628,
   98,  -18.67,   46.58,   50.19,      0.1135,   -2.0901,   10.2070,   -4.1841,   -1.1941,    9.8718,
   99,  -16.80,   46.75,   49.68,      0.1086,   -1.9917,    9.6135,   -3.1598,   -1.2955,   11.5367,
  100,  -20.75,   44.46,   49.06,      0.1072,   -1.9543,    9.2873,   -2.3596,   -1.3924,   13.0765,
  101,  -16.90,   45.13,   48.19,      0.1022,   -1.8581,    8.6974,   -1.1702,   -1.5077,   15.0424,
  102,  -16.43,   44.53,   47.47,      0.0977,   -1.7591,    7.9868,    0.4335,   -1.6668,   17.6530,
  103,  -16.75,   44.32,   47.38,      0.1016,   -1.8227,    8.2726,    0.1538,   -1.7124,   18.1887,
  104,   -6.16,   46.65,   47.06,      0.0939,   -1.6675,    7.2154,    2.8519,   -1.9865,   22.4881,
  105,  -10.45,   45.11,   46.31,      0.0959,   -1.6964,    7.3801,    2.2286,   -1.9637,   22.3265,
  106,  -10.15,   45.05,   46.18,      0.0928,   -1.6329,    6.9191,    3.4150,   -2.0941,   24.3848,
  107,   -7.33,   44.83,   45.43,      0.0859,   -1.4784,    5.9106,    5.1541,   -2.2837,   27.4972,
  108,   -8.86,   44.10,   44.98,      0.0835,   -1.4187,    5.4056,    6.4666,   -2.4781,   30.3983,
  109,   -8.42,   43.92,   44.72,      0.0791,   -1.3208,    4.7571,    7.6027,   -2.5823,   32.3130,
  110,   -9.56,   43.58,   44.61,      0.0763,   -1.2626,    4.3767,    8.2890,   -2.6643,   33.8099,
  111,   -7.00,   43.95,   44.50,      0.0729,   -1.1866,    3.8376,    9.5321,   -2.8103,   36.1400,
  112,   -7.00,   43.95,   44.50,      0.0729,   -1.1866,    3.8376,    9.5321,   -2.8103,   36.1400,
  113,   -6.78,   43.98,   44.50,      0.0712,   -1.1511,    3.6229,    9.8672,   -2.8358,   36.3853,
  114,   -6.78,   43.98,   44.50,      0.0712,   -1.1511,    3.6229,    9.8672,   -2.8358,   36.3853,
  115,   -6.78,   43.98,   44.50,      0.0712,   -1.1511,    3.6229,    9.8672,   -2.8358,   36.3853,
  116,   -4.56,   44.25,   44.48,      0.0719,   -1.1699,    3.7529,    9.7253,   -2.8295,   36.6318,
  117,   -5.58,   43.92,   44.27,      0.0712,   -1.1644,    3.7987,    9.3517,   -2.7961,   36.2851,
  118,   -5.58,   43.92,   44.27,      0.0712,   -1.1644,    3.7987,    9.3517,   -2.7961,   36.2851,
  119,   -6.93,   43.60,   44.15,      0.0718,   -1.1803,    3.9251,    9.0512,   -2.8054,   36.4586,
  120,   -7.33,   43.48,   44.10,      0.0712,   -1.1711,    3.8936,    9.0044,   -2.7890,   36.3844,
  121,   -5.26,   43.71,   44.03,      0.0619,   -0.9707,    2.5276,   11.7695,   -3.1823,   43.4220,
  122,   -7.50,   43.10,   43.74,      0.0664,   -1.0788,    3.3746,    9.7071,   -2.9400,   39.3042,
  123,   -6.07,   43.24,   43.66,      0.0653,   -1.0450,    3.0837,   10.4039,   -3.0376,   41.1485,
  124,   -4.07,   43.24,   43.43,      0.0631,   -1.0137,    3.0066,   10.2114,   -3.0585,   41.9887,
  125,   -4.58,   42.97,   43.22,      0.0622,   -0.9982,    2.9275,   10.2955,   -3.1138,   43.2371,
  126,   -5.39,   42.62,   42.96,      0.0624,   -1.0056,    3.0165,    9.9364,   -3.1299,   43.9240,
  127,   -4.53,   42.54,   42.78,      0.0600,   -0.9619,    2.8110,   10.0663,   -3.1909,   45.4102,
  128,   -4.89,   42.17,   42.45,      0.0585,   -0.9389,    2.7580,    9.7713,   -3.2466,   47.1025,
  129,   -4.07,   42.04,   42.24,      0.0561,   -0.8948,    2.5360,    9.9671,   -3.3620,   49.6360,
  130,   -4.62,   41.76,   42.01,      0.0546,   -0.8793,    2.5793,    9.3961,   -3.3900,   50.6527,
